time,flux,flux_err,timecorr,cadenceno,centroid_col,centroid_row,sap_flux,sap_flux_err,sap_bkg,sap_bkg_err,pdcsap_flux,pdcsap_flux_err,quality,psf_centr1,psf_centr1_err,psf_centr2,psf_centr2_err,mom_centr1,mom_centr1_err,mom_centr2,mom_centr2_err,pos_corr1,pos_corr2
1518.7504701241069,9.7606468e-01,1.2722453e-02,4.8315600e-03,209729,331.91132,52.93375,6.1537994e+02,4.9374475e+00,6.3754095e+02,2.4230316e+00,5.1947302e+02,6.7710381e+00,0,,,,,331.91132,5.0774380e-03,52.93375,5.1862425e-03,-1.7664131e-02,-8.3903335e-02
1518.751859046871,9.6651626e-01,1.2716522e-02,4.8315944e-03,209730,331.91639,52.93162,6.1163879e+02,4.9351463e+00,6.4337469e+02,2.4162478e+00,5.1439124e+02,6.7678819e+00,0,,,,,331.91639,5.1147174e-03,52.93162,5.2054073e-03,-1.7852623e-02,-8.2545787e-02
1518.7532479691702,9.7792780e-01,1.2730886e-02,4.8316284e-03,209731,331.91554,52.92552,6.1588092e+02,4.9407206e+00,6.4158337e+02,2.4220970e+00,5.2046460e+02,6.7755260e+00,0,,,,,331.91554,5.0797565e-03,52.92552,5.1785340e-03,-1.9009877e-02,-8.8591963e-02
1518.7546368914702,9.8774427e-01,1.2740138e-02,4.8316624e-03,209732,331.90776,52.92524,6.1999249e+02,4.9443111e+00,6.3850702e+02,2.4127541e+00,5.2568903e+02,6.7804503e+00,0,,,,,331.90776,5.0452738e-03,52.92524,5.1532374e-03,-1.8852515e-02,-7.8963608e-02
1518.756025814235,9.5797396e-01,1.2716711e-02,4.8316969e-03,209733,331.91677,52.92598,6.0922870e+02,4.9352188e+00,6.4205621e+02,2.4223270e+00,5.0984491e+02,6.7679815e+00,0,,,,,331.91677,5.1219258e-03,52.92598,5.2284151e-03,-2.1078497e-02,-8.1374146e-02
1518.7574147365342,9.6608758e-01,1.2701614e-02,4.8317309e-03,209734,331.91236,52.92332,6.1196558e+02,4.9293604e+00,6.3895483e+02,2.4125950e+00,5.1416309e+02,6.7599473e+00,0,,,,,331.91236,5.0881444e-03,52.92332,5.2045523e-03,-1.7303407e-02,-9.1094203e-02
1518.7588036588334,9.8375267e-01,1.2736149e-02,4.8317648e-03,209735,331.91281,52.92413,6.1913727e+02,4.9427629e+00,6.3920111e+02,2.4220488e+00,5.2356464e+02,6.7783270e+00,0,,,,,331.91281,5.0466061e-03,52.92413,5.1624388e-03,-2.1301076e-02,-8.3664574e-02
1518.7601925815984,9.6712452e-01,1.2733232e-02,4.8317993e-03,209736,331.91409,52.94114,6.1255115e+02,4.9416313e+00,6.4135681e+02,2.4182515e+00,5.1471497e+02,6.7767749e+00,0,,,,,331.91409,5.1142238e-03,52.94114,5.2043009e-03,-1.7081432e-02,-6.9946587e-02
1518.7615815038978,9.7251505e-01,1.2758303e-02,4.8318333e-03,209737,331.91399,52.91777,6.1453418e+02,4.9513612e+00,6.4046027e+02,2.4181509e+00,5.1758386e+02,6.7901182e+00,0,,,,,331.91399,5.1227831e-03,52.91777,5.2065905e-03,-1.7575016e-02,-9.1490604e-02
1518.7629704266626,9.6758175e-01,1.2704515e-02,4.8318678e-03,209738,331.91495,52.92136,6.1074164e+02,4.9304862e+00,6.3995819e+02,2.4148107e+00,5.1495831e+02,6.7614913e+00,0,,,,,331.91495,5.1024337e-03,52.92136,5.2238973e-03,-1.6731093e-02,-9.6400164e-02
1518.7643593489618,9.5007318e-01,1.2723668e-02,4.8319018e-03,209739,331.91428,52.92151,6.0536450e+02,4.9379191e+00,6.4430334e+02,2.4195731e+00,5.0564005e+02,6.7716842e+00,0,,,,,331.91428,5.1671774e-03,52.92151,5.2777408e-03,-1.7155709e-02,-8.2906030e-02
