time,flux,flux_err
1517.87128174292,526.85828,7.8678985
1517.87267066615,527.36395,7.8580666
1517.87405958984,512.99261,7.8283324
1517.87544851354,530.38721,7.8403864
1517.87683743677,521.4751,7.8162708
1517.87822636047,528.58441,7.8284259
1517.8796152837,532.36621,7.8168135
1517.88100420739,530.79492,7.7959538
1517.88239313062,538.30231,7.8028336
1517.88378205432,531.78174,7.8063855
1517.88517097802,529.62292,7.8069577
1517.88655990125,527.35577,7.79565
1517.88794882494,529.8576,7.7703438
1517.88933774817,525.7287,7.777379
1517.89072667187,519.57874,7.7651997
1517.89211559557,533.27826,7.7555866
1517.8935045188,526.1488,7.7557311
1517.89489344249,522.67352,7.7457037
1517.89628236572,525.16284,7.743506
1517.89767128942,536.1261,7.7510653
1517.89906021312,529.68787,7.7235675
1517.90044913635,522.14612,7.7233868
1517.90183806004,523.16333,7.7235913
1517.90322698327,521.73322,7.7254882
1517.90461590697,529.73468,7.7410297
1517.90600483067,521.60248,7.7052436
1517.9073937539,521.77869,7.700953
1517.90878267759,544.74335,7.7110643
1517.91017160082,515.80493,7.7030797
1517.91156052452,523.4613,7.6976662
1517.91294944822,516.89563,7.7205977
1517.91433837145,531.40735,7.6887922
1517.91572729514,520.62921,7.6833024
1517.91711621884,511.48434,7.6682973
1517.91850514207,519.1521,7.6752028
1517.91989406577,529.00189,7.6736798
1517.921282989,511.47388,7.6597915
1517.92267191269,527.49042,7.6630325
1517.92406083639,527.23737,7.6564436
1517.92544975962,515.86041,7.6553941
1517.92683868331,524.03143,7.6398158
1517.92822760701,518.45935,7.6544805
1517.92961653024,510.59912,7.6364241
1517.93100545394,519.40118,7.6334925
1517.93239437763,515.93201,7.6610422
1517.93378330086,518.76819,7.6307664
1517.93517222456,517.87744,7.636167
1517.93656114779,524.74481,7.6229081
1517.93795007149,528.27661,7.6245146
1517.93933899518,524.79248,7.6192565
1517.94072791841,517.72125,7.6045489
1517.94211684211,524.14655,7.6069937
1517.94350576581,515.00195,7.595716
1517.94628361273,522.76874,7.6243348
1517.94767253643,529.94733,7.6025181
1517.94906145966,524.50409,7.5832644
1517.95045038336,527.76312,7.6091042
1517.95183930705,515.29657,7.6056156
1517.95322823028,511.1022,7.5715814
1517.95461715398,523.68054,7.5738735
1517.95600607768,512.67249,7.5808806
1517.95739500091,518.69446,7.5733228
1517.9587839246,524.89032,7.5693173
1517.9601728483,529.25012,7.5815182
1517.96156177153,528.99475,7.5678377
1517.96295069522,515.29358,7.551384
1517.96433961846,518.24249,7.5444865
1517.96572854215,524.50476,7.5550733
1517.96711746585,515.07135,7.5489416
1517.96850638908,510.32822,7.5328717
1517.96989531277,522.81097,7.5478058
1517.97128423647,536.508,7.5518122
1517.9726731597,519.71228,7.5366974
1517.9740620834,512.47882,7.5210919
1517.97545100709,521.65863,7.5372405
1517.97683993033,522.95319,7.5251966
1517.97822885402,514.80981,7.5223699
1517.97961777772,504.17303,7.4989023
1517.98100670095,516.5014,7.5098367
1517.98239562464,518.17987,7.5138049
1517.98378454834,518.56628,7.506578
1517.98517347157,515.70758,7.5063777
1517.98656239527,518.02405,7.4955392
1517.98795131896,516.32129,7.5013471
1517.98934024219,525.21588,7.5040793
1517.99072916589,518.02899,7.4961538
1517.99211808959,515.18646,7.494875
1517.99350701282,520.02411,7.5021324
1517.99489593651,515.49329,7.4819312
1517.99628486021,515.04291,7.4858508
1517.99767378344,522.80072,7.4830298
1517.99906270714,513.24823,7.4852395
1518.00045163083,514.88293,7.4726453
1518.00184055406,514.52942,7.4646401
1518.00322947776,520.63501,7.4615145
1518.00461840146,521.90906,7.4642534
1518.00600732469,524.78467,7.4669404
1518.00739624838,521.59491,7.4631443
1518.00878517208,507.12012,7.4382768
1518.01017409531,514.41376,7.4596033
1518.011563019,530.19666,7.4748507
1518.0129519427,523.35461,7.4499588
1518.01434086593,517.56763,7.4526744
1518.01711871332,516.92853,7.4390907
1518.01850763655,530.05988,7.4372859
1518.01989656025,507.38907,7.4194303
1518.02128548395,518.32361,7.4342637
1518.02267440718,504.93896,7.428051
1518.02406333087,515.73206,7.4215217
1518.02545225457,519.71405,7.423717
1518.0268411778,520.14014,7.4289117
1518.0282301015,515.56555,7.4122062
1518.02961902519,514.05945,7.4102092
1518.03100794842,508.28015,7.4007382
1518.03239687212,522.43219,7.4134536
1518.03378579535,505.10739,7.3909273
1518.03517471905,527.45673,7.4060755
1518.03656364274,523.43695,7.4095526
1518.03795256597,514.72894,7.3963814
1518.03934148967,520.78973,7.3968349
1518.04073041337,520.99744,7.4177957
1518.0421193366,516.7428,7.4001122
1518.04350826029,524.97986,7.3901033
1518.04489718399,504.20599,7.3785768
1518.04628610722,525.86249,7.3931608
1518.04767503092,509.54245,7.3675299
1518.04906395461,510.44019,7.377203
1518.05045287784,514.32257,7.3673763
1518.05184180154,514.99994,7.3697467
1518.05323072477,524.9281,7.3712354
1518.05461964847,522.56079,7.3545861
1518.05600857216,520.66656,7.3686881
1518.05739749539,519.37347,7.3575387
1518.05878641909,521.41248,7.3729649
1518.06017534278,522.28284,7.3581567
1518.06156426602,525.83008,7.3528733
1518.06295318971,508.39899,7.3257332
1518.06434211341,514.75903,7.3578458
1518.06573103664,527.78467,7.3464699
1518.06711996033,511.74261,7.3384871
1518.06989780726,522.32184,7.3342514
1518.07128673096,515.66785,7.3288784
1518.07267565419,511.80984,7.3144722
1518.07545350111,505.47495,7.2975898
1518.07684242481,506.06628,7.3186092
1518.07823134851,518.58661,7.3003883
1518.07962027174,517.92181,7.3077974
1518.08100919543,514.8645,7.3083839
1518.08239811913,515.40613,7.2941637
1518.08378704236,520.3974,7.2926741
1518.08517596606,526.10974,7.3044457
1518.08656488929,515.84766,7.2804852
1518.08795381298,523.02203,7.28899
1518.09073165991,524.02924,7.3088565
1518.09212058361,523.42224,7.2786055
1518.09350950684,528.72321,7.2965078
1518.09489843053,495.78577,7.2643414
1518.09628735423,518.00494,7.293797
1518.09767627746,517.02307,7.2618427
1518.09906520116,512.11115,7.2501559
1518.10045412439,529.93884,7.2655573
1518.10184304808,518.01227,7.25529
1518.10600981871,520.12305,7.2501173
1518.10739874194,511.5864,7.2432842
1518.10878766563,511.06952,7.232101
1518.11017658886,512.64606,7.2364082
1518.11156551256,520.13934,7.2352953
1518.11295443579,521.88855,7.2404404
1518.11434335949,520.37109,7.223474
1518.11573228318,516.89764,7.2139964
1518.11712120641,508.01453,7.2119536
1518.11851013011,502.85089,7.2117124
1518.11989905334,501.08621,7.1917176
1518.12128797704,519.84937,7.2238255
1518.12267690027,508.91574,7.2040777
1518.12406582396,509.34818,7.1992893
