#time,flux,flux_err,residuals
1.518750470124106869e+03,9.760646800000000178e-01,3.334301612721099484e-02,-4.294110716917581144e-03
1.518751859046871004e+03,9.665162600000000159e-01,3.332747215714087358e-02,-1.280534224360958470e-02
1.518753247969170161e+03,9.779278000000000137e-01,3.336511734110432503e-02,-4.079812862060328005e-04
1.518754636891470227e+03,9.877442699999999798e-01,3.338936499092538118e-02,1.034370841017766621e-02
1.518756025814235045e+03,9.579739600000000133e-01,3.332796748850881674e-02,-1.854121696873197930e-02
1.518757414736534201e+03,9.660875799999999458e-01,3.328840125749404910e-02,-9.591282117396241619e-03
1.518758803658833358e+03,9.837526699999999957e-01,3.337891061618087490e-02,8.861819167715719731e-03
1.518760192581598403e+03,9.671245200000000430e-01,3.337126573998890761e-02,-7.025856974526834692e-03
1.518761581503897787e+03,9.725150500000000475e-01,3.343697183906629150e-02,-9.416251421786175912e-04
1.518762970426662605e+03,9.675817500000000182e-01,3.329600420087179546e-02,-5.227228971254833934e-03
1.518764359348961761e+03,9.500731799999999616e-01,3.334620040029061261e-02,-2.213334299734943597e-02
1.518765748271260463e+03,9.559370299999999654e-01,3.328101321978916421e-02,-1.571151109743852345e-02
1.518767137194025736e+03,9.973703600000000113e-01,3.348329187397090789e-02,2.623609279256076607e-02
1.518768526116325802e+03,9.815725100000000092e-01,3.332134996626517909e-02,1.090957422616968542e-02
1.518769915038624276e+03,9.785112099999999646e-01,3.332288313478498631e-02,8.277429280828283581e-03
1.518771303961388412e+03,9.791526200000000291e-01,3.333653750741444322e-02,9.306583978620542458e-03
1.518772692883687569e+03,9.650661900000000459e-01,3.329587840242914654e-02,-4.432746041698777673e-03
1.518774081805987635e+03,9.621795400000000553e-01,3.325269808698903817e-02,-7.012174744866272319e-03
1.518775470728286791e+03,9.737907599999999775e-01,3.345175577687872076e-02,4.867153767094234418e-03
1.518776859651051609e+03,9.765005100000000438e-01,3.329360616805875778e-02,7.806665463464437793e-03
1.518778248573350993e+03,9.703266000000000391e-01,3.337742200127616354e-02,1.824936088801250300e-03
1.518779637495650377e+03,9.678702999999999612e-01,3.328680518975291047e-02,-4.759983751402782626e-04
1.518781026418415195e+03,9.737006400000000061e-01,3.333414471620317621e-02,5.473658004047497749e-03
1.518782415340714351e+03,9.626951799999999837e-01,3.330816471699477033e-02,-5.447768955020908244e-03
1.518783804263013508e+03,9.632067699999999899e-01,3.332242973623126409e-02,-4.886663307963973191e-03
1.518785193185312210e+03,9.813375500000000029e-01,3.328530085004287320e-02,1.325988084359677743e-02
1.518786582108077482e+03,9.839946000000000526e-01,3.334938205256933463e-02,1.589970938682104540e-02
1.518787971030377548e+03,9.743574299999999688e-01,3.334938729417111225e-02,6.213098231806511718e-03
1.518789359952676250e+03,9.734848099999999782e-01,3.332123727182696726e-02,5.259583276741003344e-03
1.518790748874974497e+03,9.620544300000000160e-01,3.332249525625347736e-02,-6.282379579989519347e-03
1.518792137797739315e+03,9.871786799999999751e-01,3.348334428998867712e-02,1.870036550749548665e-02
1.518793526720039381e+03,9.790480099999999686e-01,3.331896503745657157e-02,1.039903453261441929e-02
1.518794915642338538e+03,9.716820099999999849e-01,3.334080417126104173e-02,2.833983351500472814e-03
1.518796304564637694e+03,9.662637099999999979e-01,3.331947609362984758e-02,-2.810992137570439420e-03
1.518797693486937078e+03,9.716808799999999691e-01,3.332278092355032972e-02,2.352643963736186089e-03
1.518800471332001280e+03,9.742754099999999529e-01,3.338685950527590929e-02,4.362594424752095496e-03
1.518801860254300436e+03,9.677166299999999666e-01,3.335052210095586916e-02,-2.525699320478542315e-03
