#time,flux,flux_err
1518.7504701241069,9.7606468e-01,1.2722453e-02
1518.751859046871,9.6651626e-01,1.2716522e-02
1518.7532479691702,9.7792780e-01,1.2730886e-02
1518.7546368914702,9.8774427e-01,1.2740138e-02
1518.756025814235,9.5797396e-01,1.2716711e-02
1518.7574147365342,9.6608758e-01,1.2701614e-02
1518.7588036588334,9.8375267e-01,1.2736149e-02
1518.7601925815984,9.6712452e-01,1.2733232e-02
1518.7615815038978,9.7251505e-01,1.2758303e-02
1518.7629704266626,9.6758175e-01,1.2704515e-02
1518.7643593489618,9.5007318e-01,1.2723668e-02
1518.7657482712605,9.5593703e-01,1.2698795e-02
1518.7671371940257,9.9737036e-01,1.2775977e-02
1518.7685261163258,9.8157251e-01,1.2714186e-02
1518.7699150386243,9.7851121e-01,1.2714771e-02
1518.7713039613884,9.7915262e-01,1.2719981e-02
1518.7726928836876,9.6506619e-01,1.2704467e-02
1518.7740818059876,9.6217954e-01,1.2687991e-02
1518.7754707282868,9.7379076e-01,1.2763944e-02
1518.7768596510516,9.7650051e-01,1.2703600e-02
1518.778248573351,9.7032660e-01,1.2735581e-02
1518.7796374956504,9.6787030e-01,1.2701005e-02
1518.7810264184152,9.7370064e-01,1.2719068e-02
1518.7824153407144,9.6269518e-01,1.2709155e-02
1518.7838042630135,9.6320677e-01,1.2714598e-02
1518.7851931853122,9.8133755e-01,1.2700431e-02
1518.7865821080775,9.8399460e-01,1.2724882e-02
1518.7879710303775,9.7435743e-01,1.2724884e-02
1518.7893599526763,9.7348481e-01,1.2714143e-02
1518.7907488749745,9.6205443e-01,1.2714623e-02
1518.7921377977393,9.8717868e-01,1.2775997e-02
1518.7935267200394,9.7904801e-01,1.2713276e-02
1518.7949156423385,9.7168201e-01,1.2721609e-02
1518.7963045646377,9.6626371e-01,1.2713471e-02
1518.797693486937,9.7168088e-01,1.2714732e-02
1518.8004713320013,9.7427541e-01,1.2739182e-02
1518.8018602543004,9.6771663e-01,1.2725317e-02
1518.8032491765996,9.7277576e-01,1.2722601e-02
1518.8046380988983,9.9250108e-01,1.2739405e-02
1518.8060270211981,9.7703630e-01,1.2719219e-02
1518.8074159439636,9.7037798e-01,1.2723294e-02
1518.8088048662623,9.7658902e-01,1.2731223e-02
1518.8101937885606,9.7475666e-01,1.2713918e-02
1518.81158271086,9.7114056e-01,1.2734639e-02
1518.8129716331598,9.5652652e-01,1.2707976e-02
1518.814360555459,9.7844505e-01,1.2721576e-02
1518.8157494777583,9.7043967e-01,1.2704920e-02
1518.8171384000577,9.5623428e-01,1.2690887e-02
1518.8185273228225,9.4988096e-01,1.2698207e-02
1518.8199162451217,9.6837127e-01,1.2730539e-02
1518.8213051674209,9.8642969e-01,1.2726778e-02
1518.82269408972,9.8500758e-01,1.2754363e-02
1518.8240830120187,9.7709525e-01,1.2743906e-02
1518.8254719343186,1.0124111e+00,1.2776437e-02
1518.8268608566184,9.9232316e-01,1.2737134e-02
1518.828249778917,9.9770451e-01,1.2737690e-02
1518.8296387012163,1.0221244e+00,1.2734109e-02
1518.8310276235154,1.0060043e+00,1.2747811e-02
1518.8324165458146,1.1724535e+00,1.2938111e-02
1518.8338054681137,2.1635015e+00,1.4026042e-02
1518.835194390413,2.6792538e+00,1.4563718e-02
1518.8365833127125,2.7039878e+00,1.4584690e-02
1518.8379722350116,2.5610468e+00,1.4442096e-02
1518.8393611573115,2.3275633e+00,1.4191421e-02
1518.8407500796109,2.3609791e+00,1.4241792e-02
1518.8421390019091,2.3173225e+00,1.4180314e-02
1518.8435279242078,2.2306471e+00,1.4136675e-02
1518.8449168465077,2.1964388e+00,1.4050861e-02
1518.8463057688075,2.1716220e+00,1.4039584e-02
1518.8476946911062,2.1021464e+00,1.3960254e-02
1518.8490836134054,1.9595388e+00,1.3829816e-02
