#time,flux,flux_err
1699.4505140616254,9.9177861e-01,1.3688834e-02
1699.4519029493397,1.0123502e+00,1.3716750e-02
1699.4532918370544,1.0027672e+00,1.3811339e-02
1699.4546807248282,9.8672259e-01,1.3708320e-02
1699.4560696125425,1.0090557e+00,1.3761642e-02
1699.4574585002567,1.0006815e+00,1.3835175e-02
1699.4588473879714,9.9078667e-01,1.3698255e-02
1699.4602362757448,1.0043614e+00,1.3712250e-02
1699.4616251634595,9.8973316e-01,1.3698248e-02
1699.4630140511747,9.9071538e-01,1.3711833e-02
1699.4644029388894,1.0056549e+00,1.3736392e-02
1699.4657918266037,1.0148319e+00,1.3732673e-02
1699.4671807143761,1.0083687e+00,1.3783848e-02
1699.4685696020908,1.0003514e+00,1.3732277e-02
1699.4699584898065,9.9314404e-01,1.3735752e-02
1699.4713473775216,9.9568385e-01,1.3764335e-02
1699.4727362652359,1.0098568e+00,1.3770253e-02
1699.4741251530088,9.8493874e-01,1.3711630e-02
1699.475514040723,9.9003565e-01,1.3732855e-02
1699.4769029284378,9.9545759e-01,1.3786770e-02
1699.4782918161534,1.0033510e+00,1.3734754e-02
1699.4796807039268,1.0136179e+00,1.3834315e-02
1699.481069591641,1.0028038e+00,1.3750763e-02
1699.4824584793553,9.9638784e-01,1.3747591e-02
1699.48384736707,9.9652147e-01,1.3776703e-02
1699.4852362548431,1.0029330e+00,1.3797780e-02
1699.486625142558,1.0091343e+00,1.3757668e-02
1699.4880140302728,9.9482208e-01,1.3791746e-02
1699.489402917988,9.8700970e-01,1.3750629e-02
1699.4907918057604,1.0115758e+00,1.3765864e-02
1699.4921806934747,9.8779553e-01,1.3849659e-02
1699.49356958119,1.0012046e+00,1.3778242e-02
1699.494958468905,9.8724735e-01,1.3757356e-02
1699.4963473566775,1.0055100e+00,1.3804060e-02
1699.4977362443922,1.0159181e+00,1.3799289e-02
1699.4991251321073,9.9710763e-01,1.3871116e-02
1699.5005140198798,1.0004551e+00,1.3781536e-02
1699.5019029075945,9.9183732e-01,1.3783106e-02
1699.5032917953101,9.9980640e-01,1.3804208e-02
1699.5046806830244,9.8800522e-01,1.3795282e-02
1699.5060695707969,1.0141898e+00,1.3801314e-02
1699.5074584585116,1.0094570e+00,1.3831451e-02
1699.5088473462272,9.9028796e-01,1.3838109e-02
1699.5102362340006,9.9499899e-01,1.3800116e-02
1699.5116251217146,1.0141319e+00,1.3818230e-02
1699.5130140094295,9.9291342e-01,1.3810296e-02
1699.5144028971438,9.9824512e-01,1.3800830e-02
1699.5157917849162,1.0011770e+00,1.3871541e-02
1699.5171806726319,9.8876894e-01,1.3783232e-02
1699.5185695603475,9.9978656e-01,1.3814053e-02
1699.51995844812,9.7816229e-01,1.3857916e-02
1699.521347335834,9.9129355e-01,1.3822997e-02
1699.522736223549,9.9646848e-01,1.3800164e-02
1699.5241251113214,9.9657393e-01,1.3837994e-02
1699.525513999036,9.9570155e-01,1.3826899e-02
1699.5269028867517,9.9752110e-01,1.3817352e-02
1699.528291774525,9.8837340e-01,1.3850765e-02
1699.5296806622391,9.9684048e-01,1.3826849e-02
1699.5310695499531,1.0046103e+00,1.3829232e-02
1699.5324584377265,1.0068468e+00,1.3832732e-02
1699.5338473254412,1.0060275e+00,1.3852874e-02
1699.5352362131564,9.9846190e-01,1.3872224e-02
1699.5366251009293,9.8573601e-01,1.3854025e-02
1699.5380139886445,9.8332906e-01,1.3816167e-02
1699.5394028763585,1.0188898e+00,1.3899324e-02
1699.5407917641317,9.8428965e-01,1.3825250e-02
1699.5421806518473,1.0246035e+00,1.3876244e-02
1699.5435695395615,1.0090531e+00,1.3921356e-02
1699.544958427334,9.9848622e-01,1.3840695e-02
1699.5463473150487,1.0136310e+00,1.3954045e-02
1699.5477362027636,1.0136411e+00,1.3894387e-02
1699.5491250905368,1.0193464e+00,1.3899920e-02
1699.5505139782515,1.1251869e+00,1.4008126e-02
1699.5519028659667,1.1838852e+00,1.4075461e-02
1699.5532917537391,1.1798288e+00,1.4075783e-02
1699.5546806414534,1.2096308e+00,1.4124277e-02
1699.5560695292263,1.1587011e+00,1.4064989e-02
1699.557458416941,1.1333367e+00,1.4128559e-02
1699.5588473046562,1.0985087e+00,1.3989977e-02
1699.560236192429,1.0674224e+00,1.3981242e-02
1699.5616250801443,1.0678180e+00,1.3953485e-02
1699.5630139678585,1.0550034e+00,1.3978867e-02
1699.5644028556314,1.0478748e+00,1.3956871e-02
1699.565791743347,1.0251601e+00,1.3938383e-02
1699.5671806311195,1.0245037e+00,1.3912201e-02
1699.5685695188338,1.0141166e+00,1.3896130e-02
1699.5699584065485,1.0215075e+00,1.3927273e-02
1699.5713472943219,1.0232466e+00,1.3905993e-02
1699.5727361820366,1.0205858e+00,1.3905528e-02
1699.57412506981,1.0045352e+00,1.3919954e-02
1699.5755139575247,1.0079938e+00,1.3901793e-02
1699.576902845239,9.8759222e-01,1.3951819e-02
1699.5782917330114,1.0167260e+00,1.3905298e-02
1699.579680620726,1.0224292e+00,1.3931246e-02
1699.5810695085,1.0081967e+00,1.3907963e-02
1699.582458396215,9.9205679e-01,1.3898528e-02
1699.5838472839873,1.0154480e+00,1.3913074e-02
1699.5852361717023,1.0224079e+00,1.3944709e-02
1699.5866250594165,1.0042582e+00,1.3913993e-02
1699.588013947189,9.9372655e-01,1.3898375e-02
1699.5894028349046,1.0167449e+00,1.3915705e-02
1699.5907917226784,9.9342120e-01,1.3908993e-02
1699.5921806103925,1.0080239e+00,1.3918184e-02
1699.5935694981647,1.0269327e+00,1.3923073e-02
1699.5949583858799,1.0045837e+00,1.3904465e-02
1699.5963472735946,9.9490577e-01,1.3931646e-02
1699.597736161368,9.9583882e-01,1.3903093e-02
1699.5991250490827,9.9700797e-01,1.3894295e-02
1699.600513936856,9.8732495e-01,1.3915532e-02
1699.60190282457,1.0027837e+00,1.3931670e-02
1699.6032917123423,9.8981166e-01,1.3894572e-02
1699.604680600058,9.8904657e-01,1.3926608e-02
1699.6060694878313,1.0047853e+00,1.3963892e-02
1699.6074583755455,1.0007943e+00,1.3929938e-02
1699.6088472633185,9.8691964e-01,1.3936426e-02
1699.6102361510334,9.8692113e-01,1.3912967e-02
1699.6116250388056,9.9685723e-01,1.3920021e-02
1699.6130139265208,9.8167616e-01,1.3920860e-02
1699.6144028142364,9.9327511e-01,1.3914252e-02
1699.615791702009,9.9916512e-01,1.3909051e-02
1699.6171805897231,9.8112762e-01,1.3912648e-02
1699.618569477496,9.7547477e-01,1.3916426e-02
1699.619958365211,1.0127691e+00,1.3941525e-02
1699.6213472529842,9.7180384e-01,1.3883538e-02
1699.6227361406989,1.0022054e+00,1.3946317e-02
1699.6241250284722,9.7697401e-01,1.3890448e-02
1699.6255139161865,1.0040810e+00,1.3910302e-02
1699.626902803959,1.0088185e+00,1.3931490e-02
1699.6282916916746,9.9251813e-01,1.3939534e-02
1699.6296805794482,1.0007299e+00,1.4029030e-02
1699.6310694671622,9.9423808e-01,1.3936696e-02
1699.6324583549347,9.9682146e-01,1.3942281e-02
1699.6338472426498,1.0002953e+00,1.3951980e-02
1699.6352361304223,1.0065035e+00,1.3935290e-02
1699.636625018137,1.0126821e+00,1.3960511e-02
