#time,flux,flux_err
1699.5005140198798,1.0004551e+00,1.3781536e-02
1699.5019029075945,9.9183732e-01,1.3783106e-02
1699.5032917953101,9.9980640e-01,1.3804208e-02
1699.5046806830244,9.8800522e-01,1.3795282e-02
1699.5060695707969,1.0141898e+00,1.3801314e-02
1699.5074584585116,1.0094570e+00,1.3831451e-02
1699.5088473462272,9.9028796e-01,1.3838109e-02
1699.5102362340006,9.9499899e-01,1.3800116e-02
1699.5116251217146,1.0141319e+00,1.3818230e-02
1699.5130140094295,9.9291342e-01,1.3810296e-02
1699.5144028971438,9.9824512e-01,1.3800830e-02
1699.5157917849162,1.0011770e+00,1.3871541e-02
1699.5171806726319,9.8876894e-01,1.3783232e-02
1699.5185695603475,9.9978656e-01,1.3814053e-02
1699.51995844812,9.7816229e-01,1.3857916e-02
1699.521347335834,9.9129355e-01,1.3822997e-02
1699.522736223549,9.9646848e-01,1.3800164e-02
1699.5241251113214,9.9657393e-01,1.3837994e-02
1699.525513999036,9.9570155e-01,1.3826899e-02
1699.5269028867517,9.9752110e-01,1.3817352e-02
1699.528291774525,9.8837340e-01,1.3850765e-02
1699.5296806622391,9.9684048e-01,1.3826849e-02
1699.5310695499531,1.0046103e+00,1.3829232e-02
1699.5324584377265,1.0068468e+00,1.3832732e-02
1699.5338473254412,1.0060275e+00,1.3852874e-02
1699.5352362131564,9.9846190e-01,1.3872224e-02
1699.5366251009293,9.8573601e-01,1.3854025e-02
1699.5380139886445,9.8332906e-01,1.3816167e-02
1699.5394028763585,1.0188898e+00,1.3899324e-02
1699.5407917641317,9.8428965e-01,1.3825250e-02
1699.5421806518473,1.0246035e+00,1.3876244e-02
1699.5435695395615,1.0090531e+00,1.3921356e-02
1699.544958427334,9.9848622e-01,1.3840695e-02
1699.5463473150487,1.0136310e+00,1.3954045e-02
1699.5477362027636,1.0136411e+00,1.3894387e-02
1699.5491250905368,1.0193464e+00,1.3899920e-02
1699.5505139782515,1.1251869e+00,1.4008126e-02
1699.5519028659667,1.1838852e+00,1.4075461e-02
1699.5532917537391,1.1798288e+00,1.4075783e-02
1699.5546806414534,1.2096308e+00,1.4124277e-02
1699.5560695292263,1.1587011e+00,1.4064989e-02
1699.557458416941,1.1333367e+00,1.4128559e-02
1699.5588473046562,1.0985087e+00,1.3989977e-02
1699.560236192429,1.0674224e+00,1.3981242e-02
1699.5616250801443,1.0678180e+00,1.3953485e-02
1699.5630139678585,1.0550034e+00,1.3978867e-02
1699.5644028556314,1.0478748e+00,1.3956871e-02
1699.565791743347,1.0251601e+00,1.3938383e-02
1699.5671806311195,1.0245037e+00,1.3912201e-02
1699.5685695188338,1.0141166e+00,1.3896130e-02
1699.5699584065485,1.0215075e+00,1.3927273e-02
1699.5713472943219,1.0232466e+00,1.3905993e-02
1699.5727361820366,1.0205858e+00,1.3905528e-02
1699.57412506981,1.0045352e+00,1.3919954e-02
1699.5755139575247,1.0079938e+00,1.3901793e-02
1699.576902845239,9.8759222e-01,1.3951819e-02
1699.5782917330114,1.0167260e+00,1.3905298e-02
1699.579680620726,1.0224292e+00,1.3931246e-02
1699.5810695085,1.0081967e+00,1.3907963e-02
1699.582458396215,9.9205679e-01,1.3898528e-02
1699.5838472839873,1.0154480e+00,1.3913074e-02
1699.5852361717023,1.0224079e+00,1.3944709e-02
1699.5866250594165,1.0042582e+00,1.3913993e-02
1699.588013947189,9.9372655e-01,1.3898375e-02
1699.5894028349046,1.0167449e+00,1.3915705e-02
1699.5907917226784,9.9342120e-01,1.3908993e-02
1699.5921806103925,1.0080239e+00,1.3918184e-02
1699.5935694981647,1.0269327e+00,1.3923073e-02
1699.5949583858799,1.0045837e+00,1.3904465e-02
1699.5963472735946,9.9490577e-01,1.3931646e-02
1699.597736161368,9.9583882e-01,1.3903093e-02
1699.5991250490827,9.9700797e-01,1.3894295e-02
1699.600513936856,9.8732495e-01,1.3915532e-02
1699.60190282457,1.0027837e+00,1.3931670e-02
1699.6032917123423,9.8981166e-01,1.3894572e-02
1699.604680600058,9.8904657e-01,1.3926608e-02
1699.6060694878313,1.0047853e+00,1.3963892e-02
1699.6074583755455,1.0007943e+00,1.3929938e-02
1699.6088472633185,9.8691964e-01,1.3936426e-02
1699.6102361510334,9.8692113e-01,1.3912967e-02
1699.6116250388056,9.9685723e-01,1.3920021e-02
1699.6130139265208,9.8167616e-01,1.3920860e-02
1699.6144028142364,9.9327511e-01,1.3914252e-02
1699.615791702009,9.9916512e-01,1.3909051e-02
1699.6171805897231,9.8112762e-01,1.3912648e-02
1699.618569477496,9.7547477e-01,1.3916426e-02
1699.619958365211,1.0127691e+00,1.3941525e-02
1699.6213472529842,9.7180384e-01,1.3883538e-02
1699.6227361406989,1.0022054e+00,1.3946317e-02
1699.6241250284722,9.7697401e-01,1.3890448e-02
1699.6255139161865,1.0040810e+00,1.3910302e-02
1699.626902803959,1.0088185e+00,1.3931490e-02
1699.6282916916746,9.9251813e-01,1.3939534e-02
1699.6296805794482,1.0007299e+00,1.4029030e-02
1699.6310694671622,9.9423808e-01,1.3936696e-02
1699.6324583549347,9.9682146e-01,1.3942281e-02
1699.6338472426498,1.0002953e+00,1.3951980e-02
1699.6352361304223,1.0065035e+00,1.3935290e-02
1699.636625018137,1.0126821e+00,1.3960511e-02
1699.6380139059108,9.9916238e-01,1.3944403e-02
1699.6394027936255,1.0110102e+00,1.3986355e-02
1699.640791681398,1.0003245e+00,1.3925919e-02
1699.6421805691705,1.0134681e+00,1.3976606e-02
1699.6435694568856,1.0129242e+00,1.3943870e-02
1699.6449583446586,1.0033838e+00,1.3935197e-02
1699.6463472323735,9.8990309e-01,1.3966068e-02
1699.6477361201466,9.9542916e-01,1.3966591e-02
1699.6491250078614,9.9623853e-01,1.3934119e-02
1699.6505138956338,9.7490722e-01,1.3903734e-02
1699.651902783348,9.6758771e-01,1.3958590e-02
1699.653291671122,9.7812510e-01,1.3933220e-02
1699.654680558837,9.8373508e-01,1.4013309e-02
1699.6560694466093,9.7084069e-01,1.3929273e-02
1699.6574583343242,9.7889549e-01,1.3923255e-02
1699.6588472220972,1.0036452e+00,1.3957202e-02
1699.6602361098705,9.8327667e-01,1.4009426e-02
1699.6616249975852,9.8095578e-01,1.3924098e-02
1699.6630138853586,9.8733449e-01,1.3950338e-02
1699.6644027730727,9.9077958e-01,1.3949738e-02
1699.665791660845,9.6687275e-01,1.3937736e-02
1699.66718054856,9.8833978e-01,1.3948677e-02
1699.6685694363339,9.9711949e-01,1.3939480e-02
1699.6699583241068,9.9943066e-01,1.3966539e-02
1699.671347211821,9.9377358e-01,1.3934956e-02
1699.6727360995944,1.0062586e+00,1.3981667e-02
1699.6741249873085,9.7522122e-01,1.3930026e-02
1699.6755138750807,9.9599069e-01,1.3953274e-02
1699.6769027627963,9.8949569e-01,1.3958363e-02
1699.6782916505701,9.9707443e-01,1.3992511e-02
1699.6796805383426,9.9466956e-01,1.3950827e-02
1699.6810694260569,9.8101038e-01,1.4002902e-02
1699.68245831383,9.7621524e-01,1.3935155e-02
1699.683847201545,9.9877346e-01,1.3945392e-02
1699.6852360893179,9.9734807e-01,1.3989599e-02
1699.6866249770912,9.6720755e-01,1.3920497e-02
1699.6880138648055,9.8846024e-01,1.4005443e-02
1699.689402752578,9.8879933e-01,1.3948675e-02
1699.6907916403509,9.9304128e-01,1.3995433e-02
1699.6921805280665,1.0028800e+00,1.3996587e-02
1699.6935694158394,9.9131966e-01,1.3951226e-02
1699.6949583035537,9.8828578e-01,1.3991838e-02
1699.696347191327,9.9900872e-01,1.3989476e-02
1699.6977360790995,9.9870509e-01,1.3986341e-02
1699.6991249668138,9.9298161e-01,1.3975231e-02
