time,flux,flux_err,timecorr,cadenceno,centroid_col,centroid_row,sap_flux,sap_flux_err,sap_bkg,sap_bkg_err,pdcsap_flux,pdcsap_flux_err,quality,psf_centr1,psf_centr1_err,psf_centr2,psf_centr2_err,mom_centr1,mom_centr1_err,mom_centr2,mom_centr2_err,pos_corr1,pos_corr2
1703.0005116402888,9.7298777e-01,1.6906101e-02,7.6716463e-04,342392,1930.66641,464.58671,3.9022729e+02,6.0050735e+00,1.3991239e+03,2.6303236e+00,5.8619275e+02,1.0185364e+01,0,,,,,1930.66641,6.9104871e-03,464.58671,1.0805447e-02,2.4949670e-02,4.3445256e-02
1703.0019005284687,1.0039586e+00,1.6917644e-02,7.6716451e-04,342393,1930.64619,464.57059,4.0339673e+02,6.0091729e+00,1.3931399e+03,2.6275525e+00,6.0485162e+02,1.0192318e+01,0,,,,,1930.64619,6.6817948e-03,464.57059,1.0499021e-02,-7.0290319e-03,3.9441355e-02
1703.0032894166486,9.7773629e-01,1.6943747e-02,7.6716440e-04,342394,1930.65542,464.57860,3.9251794e+02,6.0184455e+00,1.3926686e+03,2.6381013e+00,5.8905359e+02,1.0208044e+01,0,,,,,1930.65542,6.8918956e-03,464.57860,1.0779908e-02,1.8480033e-02,3.8277786e-02
1703.004678304829,1.0004394e+00,1.6913511e-02,7.6716428e-04,342395,1930.66507,464.58636,3.9809592e+02,6.0077057e+00,1.3909622e+03,2.6273191e+00,6.0273145e+02,1.0189828e+01,0,,,,,1930.66507,6.7803054e-03,464.58636,1.0606099e-02,2.7154116e-02,3.0257341e-02
1703.0060671930103,9.9197704e-01,1.6899450e-02,7.6716417e-04,342396,1930.65537,464.58042,3.9825772e+02,6.0027108e+00,1.3917490e+03,2.6279182e+00,5.9763318e+02,1.0181356e+01,0,,,,,1930.65537,6.7591849e-03,464.58042,1.0594884e-02,4.2920755e-03,3.2927997e-02
1703.007456081191,9.8695135e-01,1.6893780e-02,7.6716405e-04,342397,1930.66069,464.56997,3.9649905e+02,6.0006967e+00,1.3888092e+03,2.6262791e+00,5.9460535e+02,1.0177940e+01,0,,,,,1930.66069,6.7898026e-03,464.56997,1.0665806e-02,1.4079236e-02,4.2827424e-02
1703.008844969371,1.0034074e+00,1.6902681e-02,7.6716393e-04,342398,1930.65261,464.57545,4.0237811e+02,6.0038581e+00,1.3913030e+03,2.6271451e+00,6.0451953e+02,1.0183303e+01,0,,,,,1930.65261,6.6909641e-03,464.57545,1.0494947e-02,8.6146584e-03,2.8206993e-02
1703.0102338575514,9.9554634e-01,1.6904306e-02,7.6716382e-04,342399,1930.65699,464.56004,3.9967755e+02,6.0044351e+00,1.3889573e+03,2.6305759e+00,5.9978357e+02,1.0184281e+01,0,,,,,1930.65699,6.7340569e-03,464.56004,1.0615808e-02,1.1802894e-02,3.6146626e-02
1703.0116227457318,9.9195975e-01,1.6909840e-02,7.6716370e-04,342400,1930.65077,464.56594,3.9722958e+02,6.0064015e+00,1.3891676e+03,2.6288464e+00,5.9762274e+02,1.0187616e+01,0,,,,,1930.65077,6.7856060e-03,464.56594,1.0664805e-02,7.9131536e-03,3.4759391e-02
1703.0130116339117,9.9313188e-01,1.6899178e-02,7.6716358e-04,342401,1930.66553,464.58285,3.9794400e+02,6.0026145e+00,1.3918491e+03,2.6286957e+00,5.9832892e+02,1.0181192e+01,0,,,,,1930.66553,6.7703882e-03,464.58285,1.0596131e-02,1.3354846e-02,3.4575101e-02
1703.0144005220925,9.8555630e-01,1.6890179e-02,7.6716347e-04,342402,1930.64807,464.57183,3.9598254e+02,5.9994183e+00,1.3886486e+03,2.6287642e+00,5.9376489e+02,1.0175772e+01,0,,,,,1930.64807,6.7898603e-03,464.57183,1.0676242e-02,1.0392384e-02,4.4149220e-02
1703.0157894102738,9.7861028e-01,1.6893160e-02,7.6716335e-04,342403,1930.66859,464.57264,3.9297375e+02,6.0004764e+00,1.3912976e+03,2.6310916e+00,5.8958014e+02,1.0177567e+01,0,,,,,1930.66859,6.8531549e-03,464.57264,1.0770802e-02,4.1938429e-03,2.5412045e-02
1703.0171782984537,1.0243586e+00,1.6919278e-02,7.6716323e-04,342404,1930.65166,464.58038,4.0912827e+02,6.0097537e+00,1.3867396e+03,2.6280446e+00,6.1714203e+02,1.0193302e+01,0,,,,,1930.65166,6.5868874e-03,464.58038,1.0322251e-02,1.5393750e-02,3.4289401e-02
1703.0185671866334,9.9901682e-01,1.6896788e-02,7.6716312e-04,342405,1930.65689,464.58268,4.0028754e+02,6.0017653e+00,1.3871178e+03,2.6341360e+00,6.0187439e+02,1.0179752e+01,0,,,,,1930.65689,6.7214188e-03,464.58268,1.0521242e-02,1.1916628e-02,4.0200260e-02
1703.019956074814,9.7187752e-01,1.6883729e-02,7.6716300e-04,342406,1930.65769,464.57155,3.9126022e+02,5.9971266e+00,1.3910715e+03,2.6269662e+00,5.8552386e+02,1.0171885e+01,0,,,,,1930.65769,6.8723569e-03,464.57155,1.0801177e-02,1.2285515e-02,3.7788868e-02
1703.0213449629944,9.7586513e-01,1.6877173e-02,7.6716288e-04,342407,1930.65143,464.58132,3.9266812e+02,5.9947982e+00,1.3882126e+03,2.6334119e+00,5.8792627e+02,1.0167935e+01,0,,,,,1930.65143,6.8405243e-03,464.58132,1.0734834e-02,5.8644344e-03,2.8827580e-02
1703.0227338511752,9.9867094e-01,1.6896853e-02,7.6716277e-04,342408,1930.65727,464.57219,4.0092975e+02,6.0017886e+00,1.3878906e+03,2.6309400e+00,6.0166602e+02,1.0179792e+01,0,,,,,1930.65727,6.7166733e-03,464.57219,1.0552783e-02,1.2740264e-02,3.6382198e-02
1703.0241227393556,9.9083108e-01,1.6899318e-02,7.6716265e-04,342409,1930.66571,464.56864,3.9850043e+02,6.0026636e+00,1.3868784e+03,2.6289160e+00,5.9694275e+02,1.0181276e+01,0,,,,,1930.66571,6.7618792e-03,464.56864,1.0629683e-02,6.7458092e-03,3.4772869e-02
1703.0255116275364,9.9278051e-01,1.6873619e-02,7.6716254e-04,342410,1930.64841,464.57946,3.9860428e+02,5.9935355e+00,1.3831713e+03,2.6265001e+00,5.9811725e+02,1.0165793e+01,0,,,,,1930.64841,6.7408606e-03,464.57946,1.0584057e-02,8.3986772e-03,3.2457869e-02
