time,flux,flux_err
1699.1505143156471,1.0148213e+00,1.3602966e-02
1699.1519032033627,9.9731362e-01,1.3570075e-02
1699.1532920910188,1.0210840e+00,1.3619395e-02
1699.154680978733,1.0185106e+00,1.3587189e-02
1699.1560698664478,1.0231851e+00,1.3598529e-02
1699.157458754162,1.0130882e+00,1.3586172e-02
1699.1588476418772,1.0157477e+00,1.3618784e-02
1699.1602365295346,1.0188438e+00,1.3711822e-02
1699.1616254172493,1.0148673e+00,1.3605296e-02
1699.1630143049636,1.0027807e+00,1.3565656e-02
1699.1644031926778,1.0141588e+00,1.3612761e-02
1699.1657920803343,1.0163606e+00,1.3637661e-02
1699.1671809680495,1.0087011e+00,1.3581422e-02
1699.1685698557642,1.0074563e+00,1.3604282e-02
1699.1699587434791,1.0132434e+00,1.3621102e-02
1699.171347631194,1.0096772e+00,1.3574226e-02
1699.1727365188501,9.8382258e-01,1.3559660e-02
1699.1741254065648,1.0006802e+00,1.3563892e-02
1699.1755142942804,1.0177959e+00,1.3595683e-02
1699.1769031819947,1.0193573e+00,1.3598508e-02
1699.178292069709,1.0274361e+00,1.3617239e-02
1699.1796809573655,1.0315492e+00,1.3711440e-02
1699.1810698450797,1.0015534e+00,1.3571074e-02
1699.1824587327949,1.0276357e+00,1.3621781e-02
1699.1838476205105,1.0014582e+00,1.3585289e-02
1699.1852365082252,1.0134622e+00,1.3574800e-02
1699.1866253958813,1.0196136e+00,1.3596033e-02
1699.1880142835955,1.0046419e+00,1.3621392e-02
1699.1894031713102,1.0206107e+00,1.3577450e-02
1699.1907920590254,1.0081511e+00,1.3744282e-02
1699.19218094674,1.0068908e+00,1.3590056e-02
1699.193569834397,1.0143964e+00,1.3586357e-02
1699.1949587221118,1.0039270e+00,1.3581228e-02
1699.196347609826,1.0159098e+00,1.3580140e-02
1699.1977364975403,1.0265788e+00,1.3608584e-02
1699.199125385256,1.0093725e+00,1.3586546e-02
1699.2005142729706,1.0062579e+00,1.3570808e-02
1699.2019031606267,1.0134815e+00,1.3623322e-02
1699.2032920483418,1.0004090e+00,1.3655122e-02
1699.2046809360565,1.0022018e+00,1.3559547e-02
1699.2060698237715,1.0057412e+00,1.3571988e-02
1699.2074587114864,1.0023711e+00,1.3652622e-02
1699.2088475992011,1.0300306e+00,1.3619549e-02
1699.2102364868572,1.0132167e+00,1.3579864e-02
1699.2116253745714,1.0172856e+00,1.3604096e-02
1699.2130142622866,1.0160993e+00,1.3583173e-02
1699.2144031500022,1.0092233e+00,1.3572722e-02
1699.215792037717,1.0039704e+00,1.3572548e-02
1699.2171809254312,1.0266486e+00,1.3734922e-02
1699.2185698130877,1.0041302e+00,1.3598538e-02
1699.219958700802,1.0089071e+00,1.3651581e-02
1699.2213475885162,1.0095307e+00,1.3577050e-02
1699.2227364762318,1.0074115e+00,1.3579353e-02
1699.2241253639475,1.0132287e+00,1.3570144e-02
1699.2255142516617,1.0118828e+00,1.3582764e-02
1699.226903139376,1.0259912e+00,1.3619289e-02
1699.2282920270325,9.9216610e-01,1.3582810e-02
1699.2296809147467,1.0084673e+00,1.3597257e-02
1699.231069802462,1.0104831e+00,1.3577773e-02
1699.2324586901775,9.9634486e-01,1.3682579e-02
1699.2338475778922,9.8876578e-01,1.3557548e-02
1699.2352364656065,1.0060400e+00,1.3548533e-02
1699.2366253533207,1.0339774e+00,1.3599689e-02
1699.2380142410364,1.0164664e+00,1.3572443e-02
1699.2394031286929,9.8361349e-01,1.3551600e-02
1699.240792016407,1.0321119e+00,1.3604471e-02
1699.242180904122,1.0007461e+00,1.3556125e-02
1699.243569791837,1.0002595e+00,1.3637740e-02
1699.2449586795512,1.0169233e+00,1.3606730e-02
1699.246347567266,9.9854553e-01,1.3554093e-02
1699.2477364549816,1.0118532e+00,1.3552332e-02
1699.2491253426958,1.0106095e+00,1.3561993e-02
1699.2505142303519,1.0224793e+00,1.3562633e-02
1699.2519031180666,1.0266944e+00,1.3591834e-02
1699.2532920057818,1.0147464e+00,1.3547505e-02
1699.2546808934965,1.0071578e+00,1.3563835e-02
1699.2560697812116,9.9124193e-01,1.3538833e-02
1699.2574586689263,1.0112971e+00,1.3586742e-02
1699.2588475566406,1.0156581e+00,1.3581292e-02
1699.2602364443549,1.0136092e+00,1.3698904e-02
1699.2616253320696,1.0160899e+00,1.3582925e-02
1699.2630142197847,9.9489403e-01,1.3554914e-02
1699.2644031074994,1.0114012e+00,1.3590166e-02
1699.2657919951564,1.0113462e+00,1.3557342e-02
1699.2671808828711,9.9621439e-01,1.3559039e-02
1699.2685697705854,1.0032529e+00,1.3553208e-02
1699.2699586583,1.0104489e+00,1.3555181e-02
1699.2713475460157,1.0011420e+00,1.3620644e-02
1699.27273643373,1.0055248e+00,1.3556229e-02
1699.2741253214442,1.0137341e+00,1.3558400e-02
1699.2755142091594,1.0255333e+00,1.3716050e-02
1699.276903096874,1.0209289e+00,1.3566977e-02
1699.278291984589,1.0216674e+00,1.3557472e-02
1699.279680872304,9.8591453e-01,1.3582335e-02
1699.2810697600187,9.8646361e-01,1.3550444e-02
1699.282458647733,1.0265510e+00,1.3586554e-02
1699.283847535389,1.0110083e+00,1.3568652e-02
1699.2852364231042,1.0313869e+00,1.3618345e-02
1699.2866253108198,1.0038332e+00,1.3543097e-02
1699.2880141985345,1.0107405e+00,1.3552381e-02
1699.2894030862487,1.0069847e+00,1.3550921e-02
1699.2907919739635,1.0047630e+00,1.3562975e-02
1699.2921808616777,1.0113641e+00,1.3570541e-02
1699.2935697493929,1.0141386e+00,1.3561100e-02
1699.2949586371085,1.0058643e+00,1.3594665e-02
1699.2963475248232,1.0134267e+00,1.3557266e-02
1699.2977364125375,1.0054998e+00,1.3547959e-02
1699.2991253002517,1.0201641e+00,1.3573470e-02
1699.3005141879664,1.0048486e+00,1.3540642e-02
1699.3019030756816,1.0276800e+00,1.3580059e-02
1699.3032919633963,1.0052809e+00,1.3532652e-02
1699.3046808511112,1.0027765e+00,1.3547254e-02
1699.3060697388262,1.0011092e+00,1.3553814e-02
1699.3074586265404,1.0143212e+00,1.3554305e-02
1699.3088475142547,1.0011195e+00,1.3547088e-02
1699.3102364019703,1.0145998e+00,1.3584157e-02
1699.311625289685,9.9919468e-01,1.3535433e-02
1699.3130141773993,1.0096771e+00,1.3550629e-02
1699.3144030651142,9.9085486e-01,1.3641288e-02
1699.3157919528292,9.9960166e-01,1.3545718e-02
1699.3185697282581,9.9649727e-01,1.3547475e-02
1699.3199586159737,1.0031625e+00,1.3557910e-02
1699.321347503688,1.0061364e+00,1.3585287e-02
1699.3227363914023,9.9398643e-01,1.3540205e-02
1699.324125279117,1.0188450e+00,1.3557982e-02
1699.3255141668326,1.0119298e+00,1.3596381e-02
1699.3269030545478,1.0066568e+00,1.3570771e-02
1699.328291942262,1.0040407e+00,1.3568287e-02
1699.3296808299767,1.0009553e+00,1.3549117e-02
1699.331069717691,1.0228176e+00,1.3638661e-02
1699.3324586054052,9.9585021e-01,1.3567766e-02
1699.3338474931209,9.9338263e-01,1.3552193e-02
1699.3352363808365,1.0018239e+00,1.3560160e-02
